2,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   3987264
           2       0.43      0.00      0.00   1420412

    accuracy                           0.74   5407676
   macro avg       0.58      0.50      0.43   5407676
weighted avg       0.66      0.74      0.63   5407676
"
3,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   3987264
           2       0.43      0.00      0.00   1420412

    accuracy                           0.74   5407676
   macro avg       0.58      0.50      0.43   5407676
weighted avg       0.66      0.74      0.63   5407676
"
4,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   3987264
           2       0.43      0.00      0.00   1420412

    accuracy                           0.74   5407676
   macro avg       0.58      0.50      0.43   5407676
weighted avg       0.66      0.74      0.63   5407676
"
5,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.41      0.01      0.02   1420412

    accuracy                           0.74   5407676
   macro avg       0.57      0.50      0.43   5407676
weighted avg       0.65      0.74      0.63   5407676
"
6,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.38      0.02      0.03   1420412

    accuracy                           0.73   5407676
   macro avg       0.56      0.50      0.44   5407676
weighted avg       0.64      0.73      0.63   5407676
"
7,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.40      0.02      0.04   1420412

    accuracy                           0.73   5407676
   macro avg       0.57      0.50      0.44   5407676
weighted avg       0.65      0.73      0.63   5407676
"
8,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.40      0.03      0.05   1420412

    accuracy                           0.73   5407676
   macro avg       0.57      0.51      0.45   5407676
weighted avg       0.65      0.73      0.64   5407676
"
9,"              precision    recall  f1-score   support

           1       0.74      0.98      0.84   3987264
           2       0.40      0.03      0.05   1420412

    accuracy                           0.73   5407676
   macro avg       0.57      0.51      0.45   5407676
weighted avg       0.65      0.73      0.64   5407676
"
10,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.41      0.03      0.05   1420412

    accuracy                           0.73   5407676
   macro avg       0.58      0.51      0.45   5407676
weighted avg       0.65      0.73      0.64   5407676
"
11,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.44      0.02      0.04   1420412

    accuracy                           0.74   5407676
   macro avg       0.59      0.51      0.44   5407676
weighted avg       0.66      0.74      0.63   5407676
"
12,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.45      0.02      0.03   1420412

    accuracy                           0.74   5407676
   macro avg       0.60      0.50      0.44   5407676
weighted avg       0.66      0.74      0.63   5407676
"
13,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.45      0.02      0.03   1420412

    accuracy                           0.74   5407676
   macro avg       0.60      0.50      0.44   5407676
weighted avg       0.66      0.74      0.63   5407676
"
14,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.46      0.01      0.03   1420412

    accuracy                           0.74   5407676
   macro avg       0.60      0.50      0.44   5407676
weighted avg       0.67      0.74      0.63   5407676
"
15,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   3987264
           2       0.48      0.02      0.03   1420412

    accuracy                           0.74   5407676
   macro avg       0.61      0.50      0.44   5407676
weighted avg       0.67      0.74      0.63   5407676
"
