2,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.08      0.00      0.00     64669
           3       0.12      0.00      0.00     72941
           4       0.18      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.28      0.25      0.21   1082618
weighted avg       0.58      0.74      0.63   1082618
"
3,"              precision    recall  f1-score   support

           1       0.74      0.87      0.80    798177
           2       0.07      0.04      0.05     64669
           3       0.07      0.03      0.05     72941
           4       0.15      0.08      0.11    146831

    accuracy                           0.66   1082618
   macro avg       0.26      0.26      0.25   1082618
weighted avg       0.58      0.66      0.61   1082618
"
4,"              precision    recall  f1-score   support

           1       0.74      0.75      0.75    798177
           2       0.07      0.07      0.07     64669
           3       0.07      0.07      0.07     72941
           4       0.14      0.14      0.14    146831

    accuracy                           0.58   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.58      0.58   1082618
"
5,"              precision    recall  f1-score   support

           1       0.74      0.73      0.74    798177
           2       0.07      0.07      0.07     64669
           3       0.07      0.08      0.08     72941
           4       0.14      0.15      0.15    146831

    accuracy                           0.57   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.57      0.57   1082618
"
6,"              precision    recall  f1-score   support

           1       0.74      0.72      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.08      0.08     72941
           4       0.14      0.15      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
7,"              precision    recall  f1-score   support

           1       0.75      0.72      0.73    798177
           2       0.07      0.07      0.07     64669
           3       0.07      0.08      0.08     72941
           4       0.14      0.15      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
8,"              precision    recall  f1-score   support

           1       0.75      0.71      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.14      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
9,"              precision    recall  f1-score   support

           1       0.75      0.71      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.15      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
10,"              precision    recall  f1-score   support

           1       0.75      0.71      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.14      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
11,"              precision    recall  f1-score   support

           1       0.75      0.71      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.14      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
12,"              precision    recall  f1-score   support

           1       0.75      0.71      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.15      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
13,"              precision    recall  f1-score   support

           1       0.75      0.72      0.73    798177
           2       0.07      0.08      0.07     64669
           3       0.08      0.09      0.08     72941
           4       0.15      0.16      0.15    146831

    accuracy                           0.56   1082618
   macro avg       0.26      0.26      0.26   1082618
weighted avg       0.58      0.56      0.57   1082618
"
