2,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
3,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
4,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
5,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
6,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.50      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.31      0.25      0.21   1082618
weighted avg       0.61      0.74      0.63   1082618
"
7,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
8,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.50      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.31      0.25      0.21   1082618
weighted avg       0.61      0.74      0.63   1082618
"
9,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
10,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
11,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.13      0.00      0.00     72941
           4       0.27      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.28      0.25      0.21   1082618
weighted avg       0.59      0.74      0.63   1082618
"
12,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.23      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.24      0.25      0.21   1082618
weighted avg       0.58      0.74      0.63   1082618
"
13,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.09      0.00      0.00     72941
           4       0.22      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.26      0.25      0.21   1082618
weighted avg       0.58      0.74      0.63   1082618
"
14,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.00      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.18      0.25      0.21   1082618
weighted avg       0.54      0.74      0.63   1082618
"
15,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.00      0.00      0.00     64669
           3       0.21      0.00      0.00     72941
           4       0.20      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.29      0.25      0.21   1082618
weighted avg       0.58      0.74      0.63   1082618
"
