2,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.12      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.33      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.30      0.25      0.21   1082618
weighted avg       0.60      0.74      0.63   1082618
"
3,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.12      0.00      0.00     64669
           3       0.00      0.00      0.00     72941
           4       0.18      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.26      0.25      0.21   1082618
weighted avg       0.58      0.74      0.63   1082618
"
4,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.08      0.00      0.01     64669
           3       0.00      0.00      0.00     72941
           4       0.20      0.00      0.01    146831

    accuracy                           0.74   1082618
   macro avg       0.26      0.25      0.22   1082618
weighted avg       0.58      0.74      0.63   1082618
"
5,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.05      0.00      0.00     64669
           3       0.16      0.00      0.00     72941
           4       0.19      0.01      0.02    146831

    accuracy                           0.73   1082618
   macro avg       0.29      0.25      0.22   1082618
weighted avg       0.59      0.73      0.63   1082618
"
6,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.08      0.01      0.01     64669
           3       0.13      0.00      0.01     72941
           4       0.20      0.01      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.29      0.25      0.22   1082618
weighted avg       0.59      0.73      0.63   1082618
"
7,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.04      0.00      0.00     64669
           3       0.12      0.00      0.01     72941
           4       0.19      0.01      0.02    146831

    accuracy                           0.73   1082618
   macro avg       0.27      0.25      0.22   1082618
weighted avg       0.58      0.73      0.63   1082618
"
8,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.05      0.00      0.00     64669
           3       0.12      0.00      0.01     72941
           4       0.18      0.01      0.02    146831

    accuracy                           0.73   1082618
   macro avg       0.27      0.25      0.22   1082618
weighted avg       0.58      0.73      0.63   1082618
"
9,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.08      0.00      0.01     64669
           3       0.16      0.00      0.00     72941
           4       0.20      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.30      0.25      0.21   1082618
weighted avg       0.59      0.74      0.63   1082618
"
10,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.05      0.00      0.00     64669
           3       0.12      0.00      0.01     72941
           4       0.21      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.28      0.25      0.22   1082618
weighted avg       0.58      0.74      0.63   1082618
"
11,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.06      0.00      0.00     64669
           3       0.11      0.00      0.00     72941
           4       0.18      0.01      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.27      0.25      0.22   1082618
weighted avg       0.58      0.73      0.63   1082618
"
12,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85    798177
           2       0.07      0.00      0.00     64669
           3       0.09      0.00      0.00     72941
           4       0.17      0.01      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.27      0.25      0.22   1082618
weighted avg       0.58      0.73      0.63   1082618
"
13,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85    798177
           2       0.07      0.00      0.00     64669
           3       0.15      0.00      0.00     72941
           4       0.17      0.01      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.28      0.25      0.22   1082618
weighted avg       0.58      0.73      0.63   1082618
"
