2,"              precision    recall  f1-score   support

           1       0.49      0.84      0.62    320614
           2       0.37      0.37      0.37    320454
           3       0.32      0.14      0.20    319974
           4       0.31      0.26      0.28    320378

    accuracy                           0.40   1281420
   macro avg       0.37      0.40      0.37   1281420
weighted avg       0.37      0.40      0.37   1281420
"
3,"              precision    recall  f1-score   support

           1       0.48      0.73      0.58    320614
           2       0.36      0.28      0.31    320454
           3       0.31      0.29      0.30    319974
           4       0.30      0.23      0.26    320378

    accuracy                           0.38   1281420
   macro avg       0.36      0.38      0.36   1281420
weighted avg       0.36      0.38      0.36   1281420
"
4,"              precision    recall  f1-score   support

           1       0.48      0.56      0.52    320614
           2       0.32      0.32      0.32    320454
           3       0.29      0.28      0.28    319974
           4       0.28      0.26      0.27    320378

    accuracy                           0.35   1281420
   macro avg       0.35      0.35      0.35   1281420
weighted avg       0.35      0.35      0.35   1281420
"
5,"              precision    recall  f1-score   support

           1       0.49      0.53      0.51    320614
           2       0.32      0.32      0.32    320454
           3       0.29      0.28      0.28    319974
           4       0.28      0.27      0.27    320378

    accuracy                           0.35   1281420
   macro avg       0.34      0.35      0.35   1281420
weighted avg       0.34      0.35      0.35   1281420
"
6,"              precision    recall  f1-score   support

           1       0.49      0.52      0.50    320614
           2       0.33      0.33      0.33    320454
           3       0.29      0.28      0.29    319974
           4       0.29      0.28      0.29    320378

    accuracy                           0.35   1281420
   macro avg       0.35      0.35      0.35   1281420
weighted avg       0.35      0.35      0.35   1281420
"
7,"              precision    recall  f1-score   support

           1       0.49      0.52      0.50    320614
           2       0.33      0.33      0.33    320454
           3       0.29      0.29      0.29    319974
           4       0.30      0.29      0.29    320378

    accuracy                           0.35   1281420
   macro avg       0.35      0.35      0.35   1281420
weighted avg       0.35      0.35      0.35   1281420
"
8,"              precision    recall  f1-score   support

           1       0.51      0.50      0.51    320614
           2       0.35      0.35      0.35    320454
           3       0.30      0.30      0.30    319974
           4       0.31      0.31      0.31    320378

    accuracy                           0.37   1281420
   macro avg       0.37      0.37      0.37   1281420
weighted avg       0.37      0.37      0.37   1281420
"
9,"              precision    recall  f1-score   support

           1       0.52      0.50      0.51    320614
           2       0.35      0.36      0.36    320454
           3       0.30      0.31      0.30    319974
           4       0.31      0.32      0.32    320378

    accuracy                           0.37   1281420
   macro avg       0.37      0.37      0.37   1281420
weighted avg       0.37      0.37      0.37   1281420
"
10,"              precision    recall  f1-score   support

           1       0.70      0.67      0.68    320614
           2       0.38      0.39      0.38    320454
           3       0.33      0.34      0.33    319974
           4       0.36      0.36      0.36    320378

    accuracy                           0.44   1281420
   macro avg       0.44      0.44      0.44   1281420
weighted avg       0.44      0.44      0.44   1281420
"
11,"              precision    recall  f1-score   support

           1       0.70      0.67      0.68    320614
           2       0.38      0.39      0.39    320454
           3       0.33      0.34      0.34    319974
           4       0.36      0.36      0.36    320378

    accuracy                           0.44   1281420
   macro avg       0.44      0.44      0.44   1281420
weighted avg       0.44      0.44      0.44   1281420
"
12,"              precision    recall  f1-score   support

           1       0.70      0.67      0.69    320614
           2       0.38      0.39      0.39    320454
           3       0.33      0.34      0.34    319974
           4       0.36      0.37      0.37    320378

    accuracy                           0.44   1281420
   macro avg       0.44      0.44      0.44   1281420
weighted avg       0.44      0.44      0.44   1281420
"
13,"              precision    recall  f1-score   support

           1       0.72      0.69      0.70    320614
           2       0.39      0.39      0.39    320454
           3       0.34      0.34      0.34    319974
           4       0.38      0.38      0.38    320378

    accuracy                           0.45   1281420
   macro avg       0.46      0.45      0.45   1281420
weighted avg       0.46      0.45      0.45   1281420
"
