2,"              precision    recall  f1-score   support

           1       0.45      0.80      0.58    320614
           2       0.38      0.36      0.37    320454
           3       0.32      0.15      0.20    319974
           4       0.29      0.24      0.26    320378

    accuracy                           0.39   1281420
   macro avg       0.36      0.39      0.35   1281420
weighted avg       0.36      0.39      0.35   1281420
"
3,"              precision    recall  f1-score   support

           1       0.47      0.79      0.59    320614
           2       0.44      0.33      0.37    320454
           3       0.33      0.23      0.28    319974
           4       0.30      0.25      0.27    320378

    accuracy                           0.40   1281420
   macro avg       0.38      0.40      0.38   1281420
weighted avg       0.38      0.40      0.38   1281420
"
4,"              precision    recall  f1-score   support

           1       0.47      0.79      0.59    320614
           2       0.44      0.32      0.37    320454
           3       0.33      0.24      0.28    319974
           4       0.30      0.26      0.28    320378

    accuracy                           0.40   1281420
   macro avg       0.39      0.40      0.38   1281420
weighted avg       0.39      0.40      0.38   1281420
"
5,"              precision    recall  f1-score   support

           1       0.47      0.81      0.60    320614
           2       0.44      0.32      0.37    320454
           3       0.33      0.24      0.28    319974
           4       0.30      0.25      0.28    320378

    accuracy                           0.41   1281420
   macro avg       0.39      0.41      0.38   1281420
weighted avg       0.39      0.41      0.38   1281420
"
6,"              precision    recall  f1-score   support

           1       0.49      0.76      0.60    320614
           2       0.45      0.35      0.40    320454
           3       0.33      0.17      0.22    319974
           4       0.33      0.39      0.36    320378

    accuracy                           0.42   1281420
   macro avg       0.40      0.42      0.39   1281420
weighted avg       0.40      0.42      0.39   1281420
"
7,"              precision    recall  f1-score   support

           1       0.50      0.73      0.59    320614
           2       0.45      0.34      0.39    320454
           3       0.34      0.17      0.22    319974
           4       0.33      0.43      0.37    320378

    accuracy                           0.42   1281420
   macro avg       0.41      0.42      0.39   1281420
weighted avg       0.41      0.42      0.39   1281420
"
8,"              precision    recall  f1-score   support

           1       0.51      0.73      0.60    320614
           2       0.51      0.36      0.42    320454
           3       0.35      0.20      0.25    319974
           4       0.35      0.44      0.39    320378

    accuracy                           0.43   1281420
   macro avg       0.43      0.43      0.41   1281420
weighted avg       0.43      0.43      0.41   1281420
"
9,"              precision    recall  f1-score   support

           1       0.51      0.73      0.60    320614
           2       0.51      0.38      0.43    320454
           3       0.34      0.19      0.24    319974
           4       0.35      0.44      0.39    320378

    accuracy                           0.44   1281420
   macro avg       0.43      0.44      0.42   1281420
weighted avg       0.43      0.44      0.42   1281420
"
10,"              precision    recall  f1-score   support

           1       0.60      0.83      0.69    320614
           2       0.52      0.39      0.45    320454
           3       0.33      0.26      0.29    319974
           4       0.40      0.42      0.41    320378

    accuracy                           0.48   1281420
   macro avg       0.46      0.48      0.46   1281420
weighted avg       0.46      0.48      0.46   1281420
"
11,"              precision    recall  f1-score   support

           1       0.60      0.83      0.69    320614
           2       0.52      0.39      0.45    320454
           3       0.33      0.26      0.29    319974
           4       0.40      0.42      0.41    320378

    accuracy                           0.48   1281420
   macro avg       0.46      0.48      0.46   1281420
weighted avg       0.46      0.48      0.46   1281420
"
12,"              precision    recall  f1-score   support

           1       0.60      0.83      0.69    320614
           2       0.52      0.39      0.45    320454
           3       0.33      0.26      0.29    319974
           4       0.40      0.42      0.41    320378

    accuracy                           0.48   1281420
   macro avg       0.46      0.48      0.46   1281420
weighted avg       0.46      0.48      0.46   1281420
"
13,"              precision    recall  f1-score   support

           1       0.59      0.83      0.69    320614
           2       0.52      0.39      0.45    320454
           3       0.33      0.26      0.29    319974
           4       0.39      0.41      0.40    320378

    accuracy                           0.47   1281420
   macro avg       0.46      0.47      0.46   1281420
weighted avg       0.46      0.47      0.46   1281420
"
