2,"              precision    recall  f1-score   support

           1       0.47      0.87      0.61    320614
           2       0.38      0.39      0.38    320454
           3       0.32      0.13      0.19    319974
           4       0.30      0.21      0.25    320378

    accuracy                           0.40   1281420
   macro avg       0.37      0.40      0.36   1281420
weighted avg       0.37      0.40      0.36   1281420
"
3,"              precision    recall  f1-score   support

           1       0.48      0.85      0.62    320614
           2       0.42      0.38      0.40    320454
           3       0.31      0.19      0.23    319974
           4       0.31      0.23      0.26    320378

    accuracy                           0.41   1281420
   macro avg       0.38      0.41      0.38   1281420
weighted avg       0.38      0.41      0.38   1281420
"
4,"              precision    recall  f1-score   support

           1       0.39      0.80      0.53    320614
           2       0.43      0.35      0.38    320454
           3       0.32      0.20      0.25    319974
           4       0.28      0.14      0.18    320378

    accuracy                           0.37   1281420
   macro avg       0.35      0.37      0.34   1281420
weighted avg       0.35      0.37      0.34   1281420
"
5,"              precision    recall  f1-score   support

           1       0.39      0.76      0.52    320614
           2       0.41      0.34      0.38    320454
           3       0.34      0.23      0.27    319974
           4       0.29      0.15      0.20    320378

    accuracy                           0.37   1281420
   macro avg       0.36      0.37      0.34   1281420
weighted avg       0.36      0.37      0.34   1281420
"
6,"              precision    recall  f1-score   support

           1       0.40      0.79      0.53    320614
           2       0.44      0.34      0.39    320454
           3       0.34      0.11      0.17    319974
           4       0.32      0.30      0.31    320378

    accuracy                           0.39   1281420
   macro avg       0.38      0.39      0.35   1281420
weighted avg       0.38      0.39      0.35   1281420
"
7,"              precision    recall  f1-score   support

           1       0.40      0.69      0.51    320614
           2       0.42      0.34      0.38    320454
           3       0.31      0.25      0.28    319974
           4       0.32      0.21      0.26    320378

    accuracy                           0.38   1281420
   macro avg       0.37      0.38      0.36   1281420
weighted avg       0.37      0.38      0.36   1281420
"
8,"              precision    recall  f1-score   support

           1       0.43      0.66      0.52    320614
           2       0.46      0.38      0.41    320454
           3       0.34      0.17      0.23    319974
           4       0.35      0.40      0.37    320378

    accuracy                           0.40   1281420
   macro avg       0.39      0.40      0.38   1281420
weighted avg       0.39      0.40      0.38   1281420
"
9,"              precision    recall  f1-score   support

           1       0.42      0.57      0.49    320614
           2       0.48      0.35      0.40    320454
           3       0.30      0.20      0.24    319974
           4       0.33      0.42      0.37    320378

    accuracy                           0.39   1281420
   macro avg       0.38      0.39      0.38   1281420
weighted avg       0.38      0.39      0.38   1281420
"
10,"              precision    recall  f1-score   support

           1       0.61      0.81      0.70    320614
           2       0.48      0.42      0.45    320454
           3       0.33      0.21      0.25    319974
           4       0.39      0.46      0.42    320378

    accuracy                           0.47   1281420
   macro avg       0.45      0.47      0.46   1281420
weighted avg       0.45      0.47      0.46   1281420
"
11,"              precision    recall  f1-score   support

           1       0.61      0.81      0.70    320614
           2       0.47      0.43      0.45    320454
           3       0.33      0.18      0.24    319974
           4       0.39      0.47      0.43    320378

    accuracy                           0.48   1281420
   macro avg       0.45      0.48      0.45   1281420
weighted avg       0.45      0.48      0.45   1281420
"
12,"              precision    recall  f1-score   support

           1       0.61      0.81      0.70    320614
           2       0.49      0.40      0.44    320454
           3       0.32      0.21      0.25    319974
           4       0.39      0.47      0.43    320378

    accuracy                           0.47   1281420
   macro avg       0.45      0.47      0.45   1281420
weighted avg       0.45      0.47      0.45   1281420
"
13,"              precision    recall  f1-score   support

           1       0.60      0.81      0.69    320614
           2       0.46      0.43      0.44    320454
           3       0.32      0.16      0.21    319974
           4       0.39      0.48      0.43    320378

    accuracy                           0.47   1281420
   macro avg       0.44      0.47      0.44   1281420
weighted avg       0.44      0.47      0.44   1281420
"
