2,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.22      0.00      0.00    137610
           2       0.17      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.37      0.33      0.28   1082618
weighted avg       0.59      0.74      0.63   1082618
"
3,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.22      0.00      0.00    137610
           2       0.17      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.37      0.33      0.28   1082618
weighted avg       0.59      0.74      0.63   1082618
"
4,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.22      0.00      0.00    137610
           2       0.17      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.37      0.33      0.28   1082618
weighted avg       0.59      0.74      0.63   1082618
"
5,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.24      0.00      0.00    137610
           2       0.19      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.39      0.33      0.29   1082618
weighted avg       0.60      0.74      0.63   1082618
"
6,"              precision    recall  f1-score   support

           0       0.74      0.86      0.80    798177
           1       0.13      0.07      0.09    137610
           2       0.15      0.08      0.11    146831

    accuracy                           0.66   1082618
   macro avg       0.34      0.34      0.33   1082618
weighted avg       0.58      0.66      0.61   1082618
"
7,"              precision    recall  f1-score   support

           0       0.74      0.85      0.79    798177
           1       0.13      0.07      0.09    137610
           2       0.14      0.08      0.11    146831

    accuracy                           0.65   1082618
   macro avg       0.34      0.34      0.33   1082618
weighted avg       0.58      0.65      0.61   1082618
"
8,"              precision    recall  f1-score   support

           0       0.74      0.85      0.79    798177
           1       0.13      0.07      0.09    137610
           2       0.14      0.08      0.10    146831

    accuracy                           0.65   1082618
   macro avg       0.34      0.34      0.33   1082618
weighted avg       0.58      0.65      0.61   1082618
"
9,"              precision    recall  f1-score   support

           0       0.74      0.94      0.83    798177
           1       0.17      0.04      0.07    137610
           2       0.15      0.03      0.05    146831

    accuracy                           0.71   1082618
   macro avg       0.35      0.34      0.32   1082618
weighted avg       0.59      0.71      0.63   1082618
"
10,"              precision    recall  f1-score   support

           0       0.74      0.95      0.83    798177
           1       0.17      0.04      0.07    137610
           2       0.15      0.03      0.05    146831

    accuracy                           0.71   1082618
   macro avg       0.35      0.34      0.32   1082618
weighted avg       0.59      0.71      0.63   1082618
"
11,"              precision    recall  f1-score   support

           0       0.74      0.98      0.84    798177
           1       0.18      0.02      0.03    137610
           2       0.17      0.01      0.03    146831

    accuracy                           0.73   1082618
   macro avg       0.36      0.34      0.30   1082618
weighted avg       0.59      0.73      0.63   1082618
"
12,"              precision    recall  f1-score   support

           0       0.74      0.99      0.85    798177
           1       0.20      0.01      0.02    137610
           2       0.18      0.01      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.38      0.34      0.29   1082618
weighted avg       0.60      0.73      0.63   1082618
"
13,"              precision    recall  f1-score   support

           0       0.74      0.99      0.85    798177
           1       0.22      0.01      0.01    137610
           2       0.19      0.00      0.01    146831

    accuracy                           0.73   1082618
   macro avg       0.38      0.33      0.29   1082618
weighted avg       0.60      0.73      0.63   1082618
"
14,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.25      0.00      0.01    137610
           2       0.23      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.41      0.33      0.29   1082618
weighted avg       0.61      0.74      0.63   1082618
"
15,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.27      0.00      0.00    137610
           2       0.22      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.41      0.33      0.29   1082618
weighted avg       0.61      0.74      0.63   1082618
"
16,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.27      0.00      0.00    137610
           2       0.24      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.41      0.33      0.28   1082618
weighted avg       0.61      0.74      0.63   1082618
"
17,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.30      0.00      0.00    137610
           2       0.24      0.00      0.00    146831

    accuracy                           0.74   1082618
   macro avg       0.42      0.33      0.28   1082618
weighted avg       0.61      0.74      0.63   1082618
"
