2,"              precision    recall  f1-score   support

           1       0.76      0.46      0.57    798177
           2       0.14      0.30      0.19    137610
           3       0.14      0.29      0.19    146831

    accuracy                           0.42   1082618
   macro avg       0.35      0.35      0.32   1082618
weighted avg       0.59      0.42      0.47   1082618
"
3,"              precision    recall  f1-score   support

           1       0.76      0.46      0.58    798177
           2       0.14      0.29      0.19    137610
           3       0.14      0.29      0.19    146831

    accuracy                           0.42   1082618
   macro avg       0.34      0.35      0.32   1082618
weighted avg       0.59      0.42      0.47   1082618
"
4,"              precision    recall  f1-score   support

           1       0.76      0.46      0.57    798177
           2       0.14      0.29      0.19    137610
           3       0.14      0.29      0.19    146831

    accuracy                           0.42   1082618
   macro avg       0.34      0.35      0.32   1082618
weighted avg       0.59      0.42      0.47   1082618
"
5,"              precision    recall  f1-score   support

           1       0.76      0.36      0.48    798177
           2       0.14      0.37      0.20    137610
           3       0.14      0.32      0.20    146831

    accuracy                           0.35   1082618
   macro avg       0.35      0.35      0.29   1082618
weighted avg       0.60      0.35      0.41   1082618
"
6,"              precision    recall  f1-score   support

           1       0.76      0.37      0.50    798177
           2       0.14      0.35      0.20    137610
           3       0.14      0.34      0.20    146831

    accuracy                           0.37   1082618
   macro avg       0.35      0.36      0.30   1082618
weighted avg       0.60      0.37      0.42   1082618
"
7,"              precision    recall  f1-score   support

           1       0.77      0.38      0.51    798177
           2       0.14      0.36      0.21    137610
           3       0.15      0.34      0.20    146831

    accuracy                           0.37   1082618
   macro avg       0.35      0.36      0.31   1082618
weighted avg       0.61      0.37      0.43   1082618
"
8,"              precision    recall  f1-score   support

           1       0.78      0.40      0.52    798177
           2       0.15      0.37      0.21    137610
           3       0.15      0.34      0.20    146831

    accuracy                           0.38   1082618
   macro avg       0.36      0.37      0.31   1082618
weighted avg       0.61      0.38      0.44   1082618
"
9,"              precision    recall  f1-score   support

           1       0.78      0.42      0.54    798177
           2       0.15      0.37      0.22    137610
           3       0.15      0.33      0.21    146831

    accuracy                           0.40   1082618
   macro avg       0.36      0.37      0.32   1082618
weighted avg       0.62      0.40      0.46   1082618
"
10,"              precision    recall  f1-score   support

           1       0.79      0.43      0.55    798177
           2       0.16      0.38      0.22    137610
           3       0.15      0.33      0.21    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.38      0.33   1082618
weighted avg       0.62      0.41      0.46   1082618
"
11,"              precision    recall  f1-score   support

           1       0.79      0.43      0.55    798177
           2       0.16      0.39      0.22    137610
           3       0.15      0.33      0.21    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.38      0.33   1082618
weighted avg       0.62      0.41      0.46   1082618
"
12,"              precision    recall  f1-score   support

           1       0.79      0.43      0.56    798177
           2       0.16      0.39      0.23    137610
           3       0.15      0.33      0.21    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.38      0.33   1082618
weighted avg       0.62      0.41      0.47   1082618
"
13,"              precision    recall  f1-score   support

           1       0.79      0.43      0.56    798177
           2       0.16      0.40      0.23    137610
           3       0.16      0.33      0.21    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.39      0.33   1082618
weighted avg       0.62      0.41      0.47   1082618
"
14,"              precision    recall  f1-score   support

           1       0.79      0.43      0.56    798177
           2       0.16      0.39      0.23    137610
           3       0.16      0.34      0.22    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.39      0.33   1082618
weighted avg       0.62      0.41      0.47   1082618
"
15,"              precision    recall  f1-score   support

           1       0.79      0.43      0.56    798177
           2       0.16      0.39      0.23    137610
           3       0.16      0.34      0.21    146831

    accuracy                           0.41   1082618
   macro avg       0.37      0.39      0.33   1082618
weighted avg       0.62      0.41      0.47   1082618
"
