2,"              precision    recall  f1-score   support

           1       0.67      0.91      0.77    770943
           2       0.15      0.04      0.07    142310
           3       0.23      0.07      0.10    239806

    accuracy                           0.63   1153059
   macro avg       0.35      0.34      0.31   1153059
weighted avg       0.52      0.63      0.55   1153059
"
3,"              precision    recall  f1-score   support

           1       0.67      0.90      0.77    770943
           2       0.15      0.05      0.07    142310
           3       0.23      0.07      0.11    239806

    accuracy                           0.62   1153059
   macro avg       0.35      0.34      0.32   1153059
weighted avg       0.52      0.62      0.55   1153059
"
4,"              precision    recall  f1-score   support

           1       0.67      0.90      0.77    770943
           2       0.15      0.05      0.07    142310
           3       0.23      0.07      0.11    239806

    accuracy                           0.62   1153059
   macro avg       0.35      0.34      0.32   1153059
weighted avg       0.52      0.62      0.55   1153059
"
5,"              precision    recall  f1-score   support

           1       0.67      0.83      0.74    770943
           2       0.13      0.06      0.09    142310
           3       0.22      0.13      0.16    239806

    accuracy                           0.59   1153059
   macro avg       0.34      0.34      0.33   1153059
weighted avg       0.51      0.59      0.54   1153059
"
6,"              precision    recall  f1-score   support

           1       0.67      0.90      0.77    770943
           2       0.15      0.04      0.07    142310
           3       0.23      0.08      0.12    239806

    accuracy                           0.62   1153059
   macro avg       0.35      0.34      0.32   1153059
weighted avg       0.52      0.62      0.55   1153059
"
7,"              precision    recall  f1-score   support

           1       0.67      0.94      0.79    770943
           2       0.16      0.02      0.04    142310
           3       0.24      0.05      0.08    239806

    accuracy                           0.64   1153059
   macro avg       0.36      0.34      0.30   1153059
weighted avg       0.52      0.64      0.55   1153059
"
8,"              precision    recall  f1-score   support

           1       0.67      0.96      0.79    770943
           2       0.16      0.02      0.03    142310
           3       0.25      0.04      0.07    239806

    accuracy                           0.65   1153059
   macro avg       0.36      0.34      0.30   1153059
weighted avg       0.52      0.65      0.55   1153059
"
9,"              precision    recall  f1-score   support

           1       0.67      0.98      0.80    770943
           2       0.18      0.01      0.02    142310
           3       0.27      0.03      0.05    239806

    accuracy                           0.66   1153059
   macro avg       0.37      0.34      0.29   1153059
weighted avg       0.53      0.66      0.55   1153059
"
10,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.20      0.00      0.01    142310
           3       0.28      0.02      0.03    239806

    accuracy                           0.66   1153059
   macro avg       0.38      0.34      0.28   1153059
weighted avg       0.53      0.66      0.54   1153059
"
11,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.21      0.00      0.01    142310
           3       0.28      0.01      0.03    239806

    accuracy                           0.67   1153059
   macro avg       0.39      0.34      0.28   1153059
weighted avg       0.53      0.67      0.54   1153059
"
12,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.20      0.00      0.01    142310
           3       0.28      0.01      0.02    239806

    accuracy                           0.67   1153059
   macro avg       0.38      0.34      0.28   1153059
weighted avg       0.53      0.67      0.54   1153059
"
13,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.23      0.00      0.01    142310
           3       0.29      0.01      0.02    239806

    accuracy                           0.67   1153059
   macro avg       0.40      0.34      0.27   1153059
weighted avg       0.54      0.67      0.54   1153059
"
14,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.23      0.00      0.01    142310
           3       0.28      0.01      0.02    239806

    accuracy                           0.67   1153059
   macro avg       0.40      0.34      0.27   1153059
weighted avg       0.54      0.67      0.54   1153059
"
15,"              precision    recall  f1-score   support

           1       0.67      0.99      0.80    770943
           2       0.21      0.00      0.00    142310
           3       0.29      0.01      0.02    239806

    accuracy                           0.67   1153059
   macro avg       0.39      0.34      0.27   1153059
weighted avg       0.53      0.67      0.54   1153059
"
