2,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.06      0.00      0.00     69704
           3       0.06      0.00      0.00     47020
           4       0.13      0.00      0.00    131671
           5       0.18      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
3,"              precision    recall  f1-score   support

           1       0.71      0.98      0.83   1155979
           2       0.07      0.01      0.01     69704
           3       0.05      0.00      0.01     47020
           4       0.12      0.01      0.02    131671
           5       0.17      0.02      0.03    219553

    accuracy                           0.70   1623927
   macro avg       0.22      0.20      0.18   1623927
weighted avg       0.55      0.70      0.59   1623927
"
4,"              precision    recall  f1-score   support

           1       0.71      0.89      0.79   1155979
           2       0.04      0.01      0.02     69704
           3       0.03      0.01      0.01     47020
           4       0.09      0.03      0.05    131671
           5       0.14      0.06      0.09    219553

    accuracy                           0.65   1623927
   macro avg       0.20      0.20      0.19   1623927
weighted avg       0.54      0.65      0.58   1623927
"
5,"              precision    recall  f1-score   support

           1       0.71      0.96      0.82   1155979
           2       0.05      0.00      0.01     69704
           3       0.03      0.00      0.00     47020
           4       0.10      0.01      0.02    131671
           5       0.15      0.03      0.04    219553

    accuracy                           0.69   1623927
   macro avg       0.21      0.20      0.18   1623927
weighted avg       0.54      0.69      0.59   1623927
"
6,"              precision    recall  f1-score   support

           1       0.71      0.99      0.83   1155979
           2       0.05      0.00      0.00     69704
           3       0.03      0.00      0.00     47020
           4       0.13      0.01      0.01    131671
           5       0.17      0.01      0.02    219553

    accuracy                           0.70   1623927
   macro avg       0.22      0.20      0.17   1623927
weighted avg       0.54      0.70      0.59   1623927
"
7,"              precision    recall  f1-score   support

           1       0.71      0.99      0.83   1155979
           2       0.06      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.13      0.01      0.01    131671
           5       0.18      0.01      0.02    219553

    accuracy                           0.70   1623927
   macro avg       0.22      0.20      0.17   1623927
weighted avg       0.55      0.70      0.59   1623927
"
8,"              precision    recall  f1-score   support

           1       0.71      0.99      0.83   1155979
           2       0.06      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.12      0.01      0.01    131671
           5       0.18      0.01      0.02    219553

    accuracy                           0.70   1623927
   macro avg       0.22      0.20      0.17   1623927
weighted avg       0.55      0.70      0.59   1623927
"
9,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.05      0.00      0.00     69704
           3       0.07      0.00      0.00     47020
           4       0.14      0.00      0.00    131671
           5       0.20      0.01      0.01    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
10,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.06      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.15      0.00      0.00    131671
           5       0.20      0.00      0.01    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
11,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.07      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.16      0.00      0.00    131671
           5       0.21      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.24      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
12,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.08      0.00      0.00     69704
           3       0.06      0.00      0.00     47020
           4       0.18      0.00      0.00    131671
           5       0.21      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.25      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
13,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.09      0.00      0.00     69704
           3       0.13      0.00      0.00     47020
           4       0.19      0.00      0.00    131671
           5       0.23      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.27      0.20      0.17   1623927
weighted avg       0.56      0.71      0.59   1623927
"
