2,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.12      0.00      0.00     96759
           3       0.14      0.00      0.00    109839
           4       0.19      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.30      0.25      0.21   1623927
weighted avg       0.59      0.74      0.63   1623927
"
3,"              precision    recall  f1-score   support

           1       0.74      0.89      0.81   1197776
           2       0.07      0.03      0.04     96759
           3       0.07      0.03      0.04    109839
           4       0.15      0.07      0.10    219553

    accuracy                           0.67   1623927
   macro avg       0.26      0.25      0.25   1623927
weighted avg       0.58      0.67      0.61   1623927
"
4,"              precision    recall  f1-score   support

           1       0.74      0.94      0.83   1197776
           2       0.07      0.01      0.02     96759
           3       0.09      0.02      0.03    109839
           4       0.15      0.04      0.06    219553

    accuracy                           0.70   1623927
   macro avg       0.26      0.25      0.24   1623927
weighted avg       0.58      0.70      0.62   1623927
"
5,"              precision    recall  f1-score   support

           1       0.74      0.96      0.83   1197776
           2       0.07      0.01      0.02     96759
           3       0.09      0.02      0.03    109839
           4       0.15      0.03      0.05    219553

    accuracy                           0.71   1623927
   macro avg       0.26      0.25      0.23   1623927
weighted avg       0.58      0.71      0.62   1623927
"
6,"              precision    recall  f1-score   support

           1       0.74      0.96      0.83   1197776
           2       0.08      0.01      0.02     96759
           3       0.09      0.02      0.03    109839
           4       0.15      0.03      0.05    219553

    accuracy                           0.71   1623927
   macro avg       0.27      0.25      0.23   1623927
weighted avg       0.58      0.71      0.63   1623927
"
7,"              precision    recall  f1-score   support

           1       0.74      0.96      0.83   1197776
           2       0.08      0.01      0.02     96759
           3       0.09      0.02      0.03    109839
           4       0.15      0.03      0.05    219553

    accuracy                           0.71   1623927
   macro avg       0.27      0.25      0.23   1623927
weighted avg       0.58      0.71      0.63   1623927
"
8,"              precision    recall  f1-score   support

           1       0.74      0.98      0.84   1197776
           2       0.08      0.00      0.01     96759
           3       0.10      0.01      0.01    109839
           4       0.17      0.02      0.03    219553

    accuracy                           0.73   1623927
   macro avg       0.27      0.25      0.22   1623927
weighted avg       0.58      0.73      0.63   1623927
"
9,"              precision    recall  f1-score   support

           1       0.74      0.99      0.85   1197776
           2       0.10      0.00      0.00     96759
           3       0.10      0.00      0.00    109839
           4       0.19      0.01      0.01    219553

    accuracy                           0.73   1623927
   macro avg       0.28      0.25      0.22   1623927
weighted avg       0.58      0.73      0.63   1623927
"
10,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.10      0.00      0.00     96759
           3       0.11      0.00      0.00    109839
           4       0.20      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.29      0.25      0.21   1623927
weighted avg       0.58      0.74      0.63   1623927
"
11,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.14      0.00      0.00     96759
           3       0.11      0.00      0.00    109839
           4       0.21      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.30      0.25      0.21   1623927
weighted avg       0.59      0.74      0.63   1623927
"
12,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.16      0.00      0.00     96759
           3       0.15      0.00      0.00    109839
           4       0.21      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.32      0.25      0.21   1623927
weighted avg       0.59      0.74      0.63   1623927
"
13,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.14      0.00      0.00     96759
           3       0.13      0.00      0.00    109839
           4       0.25      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.31      0.25      0.21   1623927
weighted avg       0.59      0.74      0.63   1623927
"
