2,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.05      0.00      0.00     69704
           3       0.02      0.00      0.00     47020
           4       0.15      0.00      0.00    131671
           5       0.19      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.22      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
3,"              precision    recall  f1-score   support

           1       0.72      0.88      0.79   1155979
           2       0.05      0.02      0.03     69704
           3       0.03      0.01      0.02     47020
           4       0.08      0.03      0.05    131671
           5       0.15      0.07      0.10    219553

    accuracy                           0.64   1623927
   macro avg       0.21      0.20      0.20   1623927
weighted avg       0.54      0.64      0.58   1623927
"
4,"              precision    recall  f1-score   support

           1       0.72      0.94      0.81   1155979
           2       0.05      0.01      0.02     69704
           3       0.04      0.01      0.01     47020
           4       0.10      0.03      0.04    131671
           5       0.15      0.04      0.07    219553

    accuracy                           0.67   1623927
   macro avg       0.21      0.20      0.19   1623927
weighted avg       0.54      0.67      0.59   1623927
"
5,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82   1155979
           2       0.05      0.01      0.01     69704
           3       0.04      0.01      0.01     47020
           4       0.11      0.02      0.04    131671
           5       0.15      0.03      0.05    219553

    accuracy                           0.68   1623927
   macro avg       0.21      0.20      0.19   1623927
weighted avg       0.54      0.68      0.59   1623927
"
6,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82   1155979
           2       0.05      0.01      0.01     69704
           3       0.04      0.01      0.01     47020
           4       0.11      0.02      0.04    131671
           5       0.16      0.03      0.06    219553

    accuracy                           0.68   1623927
   macro avg       0.21      0.20      0.19   1623927
weighted avg       0.54      0.68      0.59   1623927
"
7,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82   1155979
           2       0.05      0.01      0.01     69704
           3       0.04      0.00      0.01     47020
           4       0.11      0.02      0.04    131671
           5       0.16      0.03      0.06    219553

    accuracy                           0.68   1623927
   macro avg       0.21      0.20      0.19   1623927
weighted avg       0.54      0.68      0.59   1623927
"
8,"              precision    recall  f1-score   support

           1       0.71      0.98      0.83   1155979
           2       0.05      0.00      0.01     69704
           3       0.04      0.00      0.00     47020
           4       0.12      0.01      0.02    131671
           5       0.17      0.02      0.03    219553

    accuracy                           0.70   1623927
   macro avg       0.22      0.20      0.18   1623927
weighted avg       0.54      0.70      0.59   1623927
"
9,"              precision    recall  f1-score   support

           1       0.71      0.99      0.83   1155979
           2       0.06      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.13      0.00      0.01    131671
           5       0.19      0.01      0.02    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
10,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.04      0.00      0.00     69704
           3       0.05      0.00      0.00     47020
           4       0.15      0.00      0.00    131671
           5       0.20      0.00      0.01    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
11,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.09      0.00      0.00     69704
           3       0.03      0.00      0.00     47020
           4       0.14      0.00      0.00    131671
           5       0.21      0.00      0.01    219553

    accuracy                           0.71   1623927
   macro avg       0.23      0.20      0.17   1623927
weighted avg       0.55      0.71      0.59   1623927
"
12,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.16      0.00      0.00     69704
           3       0.04      0.00      0.00     47020
           4       0.15      0.00      0.00    131671
           5       0.21      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.26      0.20      0.17   1623927
weighted avg       0.56      0.71      0.59   1623927
"
13,"              precision    recall  f1-score   support

           1       0.71      1.00      0.83   1155979
           2       0.07      0.00      0.00     69704
           3       0.11      0.00      0.00     47020
           4       0.17      0.00      0.00    131671
           5       0.23      0.00      0.00    219553

    accuracy                           0.71   1623927
   macro avg       0.26      0.20      0.17   1623927
weighted avg       0.56      0.71      0.59   1623927
"
