2,"              precision    recall  f1-score   support

          C1       0.32      0.47      0.38    187166
          C3       0.00      0.00      0.00     93307
          C4       0.25      0.22      0.23     93038
          C5       0.00      0.00      0.00     93577
          C6       0.32      0.51      0.39    186968

    accuracy                           0.31    654056
   macro avg       0.18      0.24      0.20    654056
weighted avg       0.22      0.31      0.25    654056
"
3,"              precision    recall  f1-score   support

          C1       0.33      0.58      0.42    187166
          C3       0.00      0.00      0.00     93307
          C4       0.31      0.28      0.29     93038
          C5       0.23      0.04      0.07     93577
          C6       0.32      0.39      0.35    186968

    accuracy                           0.32    654056
   macro avg       0.24      0.26      0.23    654056
weighted avg       0.26      0.32      0.27    654056
"
4,"              precision    recall  f1-score   support

          C1       0.34      0.59      0.43    187166
          C3       0.08      0.00      0.00     93307
          C4       0.31      0.28      0.29     93038
          C5       0.23      0.04      0.07     93577
          C6       0.33      0.40      0.36    186968

    accuracy                           0.33    654056
   macro avg       0.26      0.26      0.23    654056
weighted avg       0.28      0.33      0.28    654056
"
5,"              precision    recall  f1-score   support

          C1       0.34      0.59      0.43    187166
          C3       0.21      0.00      0.01     93307
          C4       0.32      0.27      0.29     93038
          C5       0.23      0.04      0.07     93577
          C6       0.33      0.41      0.37    186968

    accuracy                           0.33    654056
   macro avg       0.29      0.26      0.23    654056
weighted avg       0.30      0.33      0.28    654056
"
6,"              precision    recall  f1-score   support

          C1       0.33      0.51      0.40    187166
          C3       0.25      0.00      0.01     93307
          C4       0.34      0.31      0.32     93038
          C5       0.24      0.05      0.08     93577
          C6       0.33      0.47      0.39    186968

    accuracy                           0.33    654056
   macro avg       0.30      0.27      0.24    654056
weighted avg       0.31      0.33      0.28    654056
"
7,"              precision    recall  f1-score   support

          C1       0.33      0.50      0.40    187166
          C3       0.24      0.00      0.01     93307
          C4       0.34      0.31      0.32     93038
          C5       0.24      0.05      0.08     93577
          C6       0.34      0.48      0.39    186968

    accuracy                           0.33    654056
   macro avg       0.30      0.27      0.24    654056
weighted avg       0.31      0.33      0.28    654056
"
8,"              precision    recall  f1-score   support

          C1       0.35      0.56      0.43    187166
          C3       0.25      0.01      0.01     93307
          C4       0.36      0.38      0.37     93038
          C5       0.24      0.05      0.08     93577
          C6       0.34      0.43      0.38    186968

    accuracy                           0.34    654056
   macro avg       0.31      0.28      0.25    654056
weighted avg       0.32      0.34      0.30    654056
"
9,"              precision    recall  f1-score   support

          C1       0.36      0.57      0.44    187166
          C3       0.24      0.01      0.01     93307
          C4       0.37      0.39      0.38     93038
          C5       0.25      0.04      0.07     93577
          C6       0.34      0.42      0.37    186968

    accuracy                           0.35    654056
   macro avg       0.31      0.29      0.26    654056
weighted avg       0.32      0.35      0.30    654056
"
10,"              precision    recall  f1-score   support

          C1       0.40      0.65      0.49    187166
          C3       0.23      0.01      0.02     93307
          C4       0.36      0.45      0.40     93038
          C5       0.25      0.05      0.08     93577
          C6       0.33      0.38      0.35    186968

    accuracy                           0.36    654056
   macro avg       0.31      0.31      0.27    654056
weighted avg       0.33      0.36      0.31    654056
"
11,"              precision    recall  f1-score   support

          C1       0.40      0.65      0.49    187166
          C3       0.23      0.01      0.02     93307
          C4       0.36      0.45      0.40     93038
          C5       0.25      0.05      0.08     93577
          C6       0.33      0.38      0.35    186968

    accuracy                           0.36    654056
   macro avg       0.31      0.31      0.27    654056
weighted avg       0.33      0.36      0.31    654056
"
12,"              precision    recall  f1-score   support

          C1       0.40      0.64      0.49    187166
          C3       0.23      0.01      0.02     93307
          C4       0.36      0.45      0.40     93038
          C5       0.25      0.05      0.08     93577
          C6       0.33      0.38      0.35    186968

    accuracy                           0.36    654056
   macro avg       0.31      0.31      0.27    654056
weighted avg       0.33      0.36      0.31    654056
"
13,"              precision    recall  f1-score   support

          C1       0.40      0.64      0.49    187166
          C3       0.23      0.01      0.02     93307
          C4       0.36      0.45      0.40     93038
          C5       0.24      0.05      0.08     93577
          C6       0.33      0.38      0.35    186968

    accuracy                           0.37    654056
   macro avg       0.31      0.31      0.27    654056
weighted avg       0.33      0.37      0.31    654056
"
