2,"              precision    recall  f1-score   support

           1       0.79      0.80      0.79    732760
           2       0.80      0.78      0.79    732928

    accuracy                           0.79   1465688
   macro avg       0.79      0.79      0.79   1465688
weighted avg       0.79      0.79      0.79   1465688
"
3,"              precision    recall  f1-score   support

           1       0.78      0.81      0.79    732760
           2       0.80      0.77      0.79    732928

    accuracy                           0.79   1465688
   macro avg       0.79      0.79      0.79   1465688
weighted avg       0.79      0.79      0.79   1465688
"
4,"              precision    recall  f1-score   support

           1       0.76      0.85      0.80    732760
           2       0.83      0.73      0.77    732928

    accuracy                           0.79   1465688
   macro avg       0.79      0.79      0.79   1465688
weighted avg       0.79      0.79      0.79   1465688
"
5,"              precision    recall  f1-score   support

           1       0.79      0.82      0.80    732760
           2       0.81      0.79      0.80    732928

    accuracy                           0.80   1465688
   macro avg       0.80      0.80      0.80   1465688
weighted avg       0.80      0.80      0.80   1465688
"
6,"              precision    recall  f1-score   support

           1       0.78      0.84      0.81    732760
           2       0.83      0.77      0.80    732928

    accuracy                           0.81   1465688
   macro avg       0.81      0.81      0.81   1465688
weighted avg       0.81      0.81      0.81   1465688
"
7,"              precision    recall  f1-score   support

           1       0.80      0.84      0.82    732760
           2       0.83      0.79      0.81    732928

    accuracy                           0.81   1465688
   macro avg       0.81      0.81      0.81   1465688
weighted avg       0.81      0.81      0.81   1465688
"
8,"              precision    recall  f1-score   support

           1       0.79      0.85      0.82    732760
           2       0.84      0.77      0.80    732928

    accuracy                           0.81   1465688
   macro avg       0.81      0.81      0.81   1465688
weighted avg       0.81      0.81      0.81   1465688
"
9,"              precision    recall  f1-score   support

           1       0.80      0.89      0.84    732760
           2       0.88      0.77      0.82    732928

    accuracy                           0.83   1465688
   macro avg       0.84      0.83      0.83   1465688
weighted avg       0.84      0.83      0.83   1465688
"
10,"              precision    recall  f1-score   support

           1       0.80      0.89      0.84    732760
           2       0.87      0.78      0.82    732928

    accuracy                           0.83   1465688
   macro avg       0.83      0.83      0.83   1465688
weighted avg       0.83      0.83      0.83   1465688
"
11,"              precision    recall  f1-score   support

           1       0.81      0.86      0.84    732760
           2       0.85      0.80      0.83    732928

    accuracy                           0.83   1465688
   macro avg       0.83      0.83      0.83   1465688
weighted avg       0.83      0.83      0.83   1465688
"
12,"              precision    recall  f1-score   support

           1       0.83      0.87      0.85    732760
           2       0.87      0.83      0.85    732928

    accuracy                           0.85   1465688
   macro avg       0.85      0.85      0.85   1465688
weighted avg       0.85      0.85      0.85   1465688
"
13,"              precision    recall  f1-score   support

           1       0.82      0.89      0.85    732760
           2       0.88      0.80      0.84    732928

    accuracy                           0.84   1465688
   macro avg       0.85      0.84      0.84   1465688
weighted avg       0.85      0.84      0.84   1465688
"
14,"              precision    recall  f1-score   support

           1       0.81      0.92      0.86    732760
           2       0.91      0.78      0.84    732928

    accuracy                           0.85   1465688
   macro avg       0.86      0.85      0.85   1465688
weighted avg       0.86      0.85      0.85   1465688
"
15,"              precision    recall  f1-score   support

           1       0.82      0.92      0.87    732760
           2       0.91      0.80      0.85    732928

    accuracy                           0.86   1465688
   macro avg       0.86      0.86      0.86   1465688
weighted avg       0.86      0.86      0.86   1465688
"
