2,"              precision    recall  f1-score   support

           1       0.50      0.82      0.62    320614
           2       0.40      0.24      0.30    320454
           3       0.32      0.31      0.31    319974
           4       0.31      0.25      0.28    320378

    accuracy                           0.40   1281420
   macro avg       0.38      0.40      0.38   1281420
weighted avg       0.38      0.40      0.38   1281420
"
3,"              precision    recall  f1-score   support

           1       0.50      0.83      0.63    320614
           2       0.44      0.32      0.37    320454
           3       0.33      0.28      0.30    319974
           4       0.34      0.27      0.30    320378

    accuracy                           0.42   1281420
   macro avg       0.40      0.42      0.40   1281420
weighted avg       0.40      0.42      0.40   1281420
"
4,"              precision    recall  f1-score   support

           1       0.51      0.81      0.63    320614
           2       0.44      0.33      0.37    320454
           3       0.35      0.11      0.17    319974
           4       0.32      0.44      0.37    320378

    accuracy                           0.42   1281420
   macro avg       0.41      0.42      0.39   1281420
weighted avg       0.41      0.42      0.39   1281420
"
5,"              precision    recall  f1-score   support

           1       0.49      0.86      0.62    320614
           2       0.45      0.31      0.37    320454
           3       0.34      0.25      0.28    319974
           4       0.34      0.28      0.31    320378

    accuracy                           0.42   1281420
   macro avg       0.40      0.42      0.40   1281420
weighted avg       0.40      0.42      0.40   1281420
"
6,"              precision    recall  f1-score   support

           1       0.52      0.79      0.63    320614
           2       0.46      0.32      0.38    320454
           3       0.34      0.19      0.25    319974
           4       0.35      0.43      0.38    320378

    accuracy                           0.43   1281420
   macro avg       0.42      0.43      0.41   1281420
weighted avg       0.42      0.43      0.41   1281420
"
7,"              precision    recall  f1-score   support

           1       0.49      0.87      0.63    320614
           2       0.46      0.37      0.41    320454
           3       0.38      0.06      0.10    319974
           4       0.36      0.46      0.41    320378

    accuracy                           0.44   1281420
   macro avg       0.42      0.44      0.39   1281420
weighted avg       0.42      0.44      0.39   1281420
"
8,"              precision    recall  f1-score   support

           1       0.55      0.80      0.65    320614
           2       0.53      0.32      0.40    320454
           3       0.36      0.27      0.31    319974
           4       0.38      0.45      0.42    320378

    accuracy                           0.46   1281420
   macro avg       0.46      0.46      0.44   1281420
weighted avg       0.46      0.46      0.44   1281420
"
9,"              precision    recall  f1-score   support

           1       0.55      0.81      0.65    320614
           2       0.55      0.32      0.40    320454
           3       0.39      0.24      0.30    319974
           4       0.39      0.52      0.45    320378

    accuracy                           0.47   1281420
   macro avg       0.47      0.47      0.45   1281420
weighted avg       0.47      0.47      0.45   1281420
"
10,"              precision    recall  f1-score   support

           1       0.69      0.90      0.78    320614
           2       0.57      0.33      0.42    320454
           3       0.41      0.30      0.35    319974
           4       0.43      0.60      0.50    320378

    accuracy                           0.53   1281420
   macro avg       0.53      0.53      0.51   1281420
weighted avg       0.53      0.53      0.51   1281420
"
11,"              precision    recall  f1-score   support

           1       0.68      0.91      0.78    320614
           2       0.57      0.35      0.43    320454
           3       0.42      0.24      0.30    319974
           4       0.43      0.64      0.51    320378

    accuracy                           0.53   1281420
   macro avg       0.52      0.53      0.51   1281420
weighted avg       0.52      0.53      0.51   1281420
"
12,"              precision    recall  f1-score   support

           1       0.71      0.88      0.79    320614
           2       0.58      0.33      0.42    320454
           3       0.39      0.37      0.38    319974
           4       0.44      0.55      0.49    320378

    accuracy                           0.53   1281420
   macro avg       0.53      0.53      0.52   1281420
weighted avg       0.53      0.53      0.52   1281420
"
13,"              precision    recall  f1-score   support

           1       0.71      0.93      0.80    320614
           2       0.54      0.41      0.46    320454
           3       0.40      0.29      0.33    319974
           4       0.47      0.56      0.51    320378

    accuracy                           0.55   1281420
   macro avg       0.53      0.55      0.53   1281420
weighted avg       0.53      0.55      0.53   1281420
"
