2,"              precision    recall  f1-score   support

           1       0.62      0.93      0.74    320614
           2       0.37      0.31      0.34    320454
           3       0.35      0.29      0.31    319974
           4       0.31      0.26      0.28    320378

    accuracy                           0.45   1281420
   macro avg       0.41      0.45      0.42   1281420
weighted avg       0.41      0.45      0.42   1281420
"
3,"              precision    recall  f1-score   support

           1       0.63      0.84      0.72    320614
           2       0.35      0.34      0.35    320454
           3       0.33      0.30      0.31    319974
           4       0.31      0.24      0.27    320378

    accuracy                           0.43   1281420
   macro avg       0.41      0.43      0.41   1281420
weighted avg       0.41      0.43      0.41   1281420
"
4,"              precision    recall  f1-score   support

           1       0.65      0.81      0.72    320614
           2       0.39      0.37      0.38    320454
           3       0.33      0.29      0.31    319974
           4       0.33      0.30      0.32    320378

    accuracy                           0.45   1281420
   macro avg       0.43      0.45      0.43   1281420
weighted avg       0.43      0.45      0.43   1281420
"
5,"              precision    recall  f1-score   support

           1       0.68      0.85      0.75    320614
           2       0.43      0.38      0.41    320454
           3       0.35      0.30      0.32    319974
           4       0.38      0.38      0.38    320378

    accuracy                           0.48   1281420
   macro avg       0.46      0.48      0.46   1281420
weighted avg       0.46      0.48      0.46   1281420
"
6,"              precision    recall  f1-score   support

           1       0.68      0.89      0.77    320614
           2       0.45      0.38      0.41    320454
           3       0.36      0.29      0.32    319974
           4       0.39      0.41      0.40    320378

    accuracy                           0.49   1281420
   macro avg       0.47      0.49      0.47   1281420
weighted avg       0.47      0.49      0.47   1281420
"
7,"              precision    recall  f1-score   support

           1       0.68      0.89      0.77    320614
           2       0.45      0.38      0.41    320454
           3       0.36      0.29      0.32    319974
           4       0.39      0.41      0.40    320378

    accuracy                           0.49   1281420
   macro avg       0.47      0.49      0.48   1281420
weighted avg       0.47      0.49      0.48   1281420
"
8,"              precision    recall  f1-score   support

           1       0.69      0.90      0.78    320614
           2       0.45      0.38      0.41    320454
           3       0.36      0.29      0.32    319974
           4       0.40      0.42      0.41    320378

    accuracy                           0.50   1281420
   macro avg       0.47      0.50      0.48   1281420
weighted avg       0.47      0.50      0.48   1281420
"
9,"              precision    recall  f1-score   support

           1       0.70      0.93      0.80    320614
           2       0.47      0.38      0.42    320454
           3       0.38      0.29      0.33    319974
           4       0.42      0.46      0.44    320378

    accuracy                           0.51   1281420
   macro avg       0.49      0.51      0.50   1281420
weighted avg       0.49      0.51      0.50   1281420
"
10,"              precision    recall  f1-score   support

           1       0.71      0.95      0.81    320614
           2       0.49      0.38      0.43    320454
           3       0.39      0.29      0.34    319974
           4       0.45      0.52      0.48    320378

    accuracy                           0.53   1281420
   macro avg       0.51      0.53      0.51   1281420
weighted avg       0.51      0.53      0.51   1281420
"
11,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82    320614
           2       0.50      0.38      0.43    320454
           3       0.41      0.30      0.34    319974
           4       0.46      0.55      0.50    320378

    accuracy                           0.54   1281420
   macro avg       0.52      0.54      0.52   1281420
weighted avg       0.52      0.54      0.52   1281420
"
12,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82    320614
           2       0.51      0.38      0.44    320454
           3       0.41      0.30      0.35    319974
           4       0.47      0.57      0.52    320378

    accuracy                           0.55   1281420
   macro avg       0.53      0.55      0.53   1281420
weighted avg       0.53      0.55      0.53   1281420
"
13,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82    320614
           2       0.51      0.38      0.44    320454
           3       0.41      0.31      0.35    319974
           4       0.48      0.57      0.52    320378

    accuracy                           0.55   1281420
   macro avg       0.53      0.55      0.53   1281420
weighted avg       0.53      0.55      0.53   1281420
"
