2,"              precision    recall  f1-score   support

           1       0.74      0.93      0.82   1197776
           2       0.07      0.02      0.03     96759
           3       0.08      0.02      0.03    109839
           4       0.15      0.04      0.07    219553

    accuracy                           0.69   1623927
   macro avg       0.26      0.25      0.24   1623927
weighted avg       0.58      0.69      0.62   1623927
"
3,"              precision    recall  f1-score   support

           1       0.74      0.92      0.82   1197776
           2       0.06      0.02      0.02     96759
           3       0.07      0.02      0.03    109839
           4       0.14      0.05      0.07    219553

    accuracy                           0.69   1623927
   macro avg       0.25      0.25      0.24   1623927
weighted avg       0.57      0.69      0.62   1623927
"
4,"              precision    recall  f1-score   support

           1       0.74      0.97      0.84   1197776
           2       0.08      0.01      0.01     96759
           3       0.09      0.01      0.02    109839
           4       0.15      0.02      0.03    219553

    accuracy                           0.72   1623927
   macro avg       0.27      0.25      0.23   1623927
weighted avg       0.58      0.72      0.63   1623927
"
5,"              precision    recall  f1-score   support

           1       0.74      0.99      0.84   1197776
           2       0.07      0.00      0.01     96759
           3       0.09      0.00      0.01    109839
           4       0.17      0.01      0.02    219553

    accuracy                           0.73   1623927
   macro avg       0.27      0.25      0.22   1623927
weighted avg       0.58      0.73      0.63   1623927
"
6,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.06      0.00      0.00     96759
           3       0.11      0.00      0.00    109839
           4       0.18      0.00      0.01    219553

    accuracy                           0.74   1623927
   macro avg       0.27      0.25      0.21   1623927
weighted avg       0.58      0.74      0.63   1623927
"
7,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.07      0.00      0.00     96759
           3       0.12      0.00      0.00    109839
           4       0.18      0.00      0.01    219553

    accuracy                           0.74   1623927
   macro avg       0.28      0.25      0.21   1623927
weighted avg       0.58      0.74      0.63   1623927
"
8,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.08      0.00      0.00     96759
           3       0.11      0.00      0.00    109839
           4       0.19      0.00      0.01    219553

    accuracy                           0.74   1623927
   macro avg       0.28      0.25      0.21   1623927
weighted avg       0.58      0.74      0.63   1623927
"
9,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.08      0.00      0.00     96759
           3       0.11      0.00      0.00    109839
           4       0.19      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.28      0.25      0.21   1623927
weighted avg       0.58      0.74      0.63   1623927
"
10,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.17      0.00      0.00     96759
           3       0.12      0.00      0.00    109839
           4       0.22      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.31      0.25      0.21   1623927
weighted avg       0.59      0.74      0.63   1623927
"
11,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.22      0.00      0.00     96759
           3       0.16      0.00      0.00    109839
           4       0.23      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.34      0.25      0.21   1623927
weighted avg       0.60      0.74      0.63   1623927
"
12,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.18      0.00      0.00     96759
           3       0.17      0.00      0.00    109839
           4       0.25      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.33      0.25      0.21   1623927
weighted avg       0.60      0.74      0.63   1623927
"
13,"              precision    recall  f1-score   support

           1       0.74      1.00      0.85   1197776
           2       0.17      0.00      0.00     96759
           3       0.14      0.00      0.00    109839
           4       0.24      0.00      0.00    219553

    accuracy                           0.74   1623927
   macro avg       0.32      0.25      0.21   1623927
weighted avg       0.60      0.74      0.63   1623927
"
