2,"              precision    recall  f1-score   support

           1       0.78      0.99      0.87   2793882
           2       0.81      0.22      0.34    226793
           3       0.80      0.20      0.32    255453
           4       0.78      0.22      0.35    513034

    accuracy                           0.79   3789162
   macro avg       0.80      0.41      0.47   3789162
weighted avg       0.79      0.79      0.73   3789162
"
3,"              precision    recall  f1-score   support

           1       0.94      0.99      0.96   2793882
           2       0.97      0.80      0.88    226793
           3       0.97      0.79      0.87    255453
           4       0.97      0.80      0.88    513034

    accuracy                           0.94   3789162
   macro avg       0.96      0.85      0.90   3789162
weighted avg       0.94      0.94      0.94   3789162
"
4,"              precision    recall  f1-score   support

           1       0.99      1.00      0.99   2793882
           2       0.99      0.96      0.98    226793
           3       0.99      0.95      0.97    255453
           4       0.99      0.97      0.98    513034

    accuracy                           0.99   3789162
   macro avg       0.99      0.97      0.98   3789162
weighted avg       0.99      0.99      0.99   3789162
"
5,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      0.99      0.99    226793
           3       1.00      0.99      0.99    255453
           4       1.00      0.99      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      0.99      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
6,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
7,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
8,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
9,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
10,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
11,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
12,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
13,"              precision    recall  f1-score   support

           1       1.00      1.00      1.00   2793882
           2       1.00      1.00      1.00    226793
           3       1.00      1.00      1.00    255453
           4       1.00      1.00      1.00    513034

    accuracy                           1.00   3789162
   macro avg       1.00      1.00      1.00   3789162
weighted avg       1.00      1.00      1.00   3789162
"
