2,"              precision    recall  f1-score   support

           1       0.48      0.85      0.62    320614
           2       0.37      0.36      0.37    320454
           3       0.32      0.14      0.20    319974
           4       0.31      0.26      0.28    320378

    accuracy                           0.40   1281420
   macro avg       0.37      0.40      0.37   1281420
weighted avg       0.37      0.40      0.37   1281420
"
3,"              precision    recall  f1-score   support

           1       0.50      0.69      0.58    320614
           2       0.37      0.27      0.31    320454
           3       0.31      0.30      0.30    319974
           4       0.30      0.27      0.28    320378

    accuracy                           0.38   1281420
   macro avg       0.37      0.38      0.37   1281420
weighted avg       0.37      0.38      0.37   1281420
"
4,"              precision    recall  f1-score   support

           1       0.51      0.65      0.57    320614
           2       0.36      0.34      0.35    320454
           3       0.30      0.27      0.28    319974
           4       0.30      0.27      0.28    320378

    accuracy                           0.38   1281420
   macro avg       0.37      0.38      0.37   1281420
weighted avg       0.37      0.38      0.37   1281420
"
5,"              precision    recall  f1-score   support

           1       0.52      0.65      0.58    320614
           2       0.36      0.35      0.36    320454
           3       0.31      0.27      0.28    319974
           4       0.30      0.27      0.29    320378

    accuracy                           0.39   1281420
   macro avg       0.37      0.39      0.38   1281420
weighted avg       0.37      0.39      0.38   1281420
"
6,"              precision    recall  f1-score   support

           1       0.52      0.65      0.58    320614
           2       0.37      0.36      0.36    320454
           3       0.31      0.27      0.28    319974
           4       0.32      0.30      0.31    320378

    accuracy                           0.39   1281420
   macro avg       0.38      0.39      0.38   1281420
weighted avg       0.38      0.39      0.38   1281420
"
7,"              precision    recall  f1-score   support

           1       0.52      0.65      0.58    320614
           2       0.37      0.36      0.37    320454
           3       0.31      0.27      0.29    319974
           4       0.33      0.31      0.32    320378

    accuracy                           0.39   1281420
   macro avg       0.38      0.39      0.39   1281420
weighted avg       0.38      0.39      0.39   1281420
"
8,"              precision    recall  f1-score   support

           1       0.55      0.72      0.62    320614
           2       0.42      0.38      0.40    320454
           3       0.33      0.27      0.30    319974
           4       0.36      0.36      0.36    320378

    accuracy                           0.43   1281420
   macro avg       0.42      0.43      0.42   1281420
weighted avg       0.42      0.43      0.42   1281420
"
9,"              precision    recall  f1-score   support

           1       0.55      0.77      0.64    320614
           2       0.45      0.37      0.41    320454
           3       0.35      0.27      0.30    319974
           4       0.39      0.39      0.39    320378

    accuracy                           0.45   1281420
   macro avg       0.43      0.45      0.44   1281420
weighted avg       0.43      0.45      0.44   1281420
"
10,"              precision    recall  f1-score   support

           1       0.71      0.92      0.80    320614
           2       0.49      0.38      0.43    320454
           3       0.39      0.29      0.34    319974
           4       0.45      0.53      0.48    320378

    accuracy                           0.53   1281420
   macro avg       0.51      0.53      0.51   1281420
weighted avg       0.51      0.53      0.51   1281420
"
11,"              precision    recall  f1-score   support

           1       0.71      0.92      0.80    320614
           2       0.49      0.38      0.43    320454
           3       0.40      0.30      0.34    319974
           4       0.45      0.53      0.49    320378

    accuracy                           0.53   1281420
   macro avg       0.51      0.53      0.52   1281420
weighted avg       0.51      0.53      0.52   1281420
"
12,"              precision    recall  f1-score   support

           1       0.71      0.92      0.80    320614
           2       0.50      0.38      0.43    320454
           3       0.40      0.30      0.34    319974
           4       0.45      0.53      0.49    320378

    accuracy                           0.53   1281420
   macro avg       0.51      0.53      0.52   1281420
weighted avg       0.51      0.53      0.52   1281420
"
13,"              precision    recall  f1-score   support

           1       0.72      0.95      0.82    320614
           2       0.51      0.38      0.44    320454
           3       0.42      0.31      0.36    319974
           4       0.48      0.57      0.52    320378

    accuracy                           0.55   1281420
   macro avg       0.53      0.55      0.53   1281420
weighted avg       0.53      0.55      0.53   1281420
"
