2,"              precision    recall  f1-score   support

           1       0.78      0.90      0.83    732760
           2       0.88      0.74      0.80    732928

    accuracy                           0.82   1465688
   macro avg       0.83      0.82      0.82   1465688
weighted avg       0.83      0.82      0.82   1465688
"
3,"              precision    recall  f1-score   support

           1       0.78      0.90      0.83    732760
           2       0.88      0.74      0.80    732928

    accuracy                           0.82   1465688
   macro avg       0.83      0.82      0.82   1465688
weighted avg       0.83      0.82      0.82   1465688
"
4,"              precision    recall  f1-score   support

           1       0.78      0.89      0.83    732760
           2       0.88      0.74      0.80    732928

    accuracy                           0.82   1465688
   macro avg       0.83      0.82      0.82   1465688
weighted avg       0.83      0.82      0.82   1465688
"
5,"              precision    recall  f1-score   support

           1       0.79      0.84      0.81    732760
           2       0.83      0.77      0.80    732928

    accuracy                           0.81   1465688
   macro avg       0.81      0.81      0.81   1465688
weighted avg       0.81      0.81      0.81   1465688
"
6,"              precision    recall  f1-score   support

           1       0.80      0.84      0.82    732760
           2       0.83      0.79      0.81    732928

    accuracy                           0.82   1465688
   macro avg       0.82      0.82      0.81   1465688
weighted avg       0.82      0.82      0.81   1465688
"
7,"              precision    recall  f1-score   support

           1       0.81      0.86      0.83    732760
           2       0.85      0.79      0.82    732928

    accuracy                           0.83   1465688
   macro avg       0.83      0.83      0.83   1465688
weighted avg       0.83      0.83      0.83   1465688
"
8,"              precision    recall  f1-score   support

           1       0.81      0.87      0.84    732760
           2       0.86      0.79      0.82    732928

    accuracy                           0.83   1465688
   macro avg       0.83      0.83      0.83   1465688
weighted avg       0.83      0.83      0.83   1465688
"
9,"              precision    recall  f1-score   support

           1       0.82      0.91      0.86    732760
           2       0.90      0.80      0.85    732928

    accuracy                           0.85   1465688
   macro avg       0.86      0.85      0.85   1465688
weighted avg       0.86      0.85      0.85   1465688
"
10,"              precision    recall  f1-score   support

           1       0.82      0.91      0.86    732760
           2       0.90      0.80      0.85    732928

    accuracy                           0.86   1465688
   macro avg       0.86      0.86      0.86   1465688
weighted avg       0.86      0.86      0.86   1465688
"
11,"              precision    recall  f1-score   support

           1       0.82      0.92      0.87    732760
           2       0.90      0.80      0.85    732928

    accuracy                           0.86   1465688
   macro avg       0.86      0.86      0.86   1465688
weighted avg       0.86      0.86      0.86   1465688
"
12,"              precision    recall  f1-score   support

           1       0.84      0.93      0.89    732760
           2       0.93      0.82      0.87    732928

    accuracy                           0.88   1465688
   macro avg       0.88      0.88      0.88   1465688
weighted avg       0.88      0.88      0.88   1465688
"
13,"              precision    recall  f1-score   support

           1       0.84      0.93      0.88    732760
           2       0.92      0.82      0.87    732928

    accuracy                           0.88   1465688
   macro avg       0.88      0.88      0.88   1465688
weighted avg       0.88      0.88      0.88   1465688
"
14,"              precision    recall  f1-score   support

           1       0.84      0.94      0.89    732760
           2       0.93      0.83      0.87    732928

    accuracy                           0.88   1465688
   macro avg       0.89      0.88      0.88   1465688
weighted avg       0.89      0.88      0.88   1465688
"
15,"              precision    recall  f1-score   support

           1       0.84      0.94      0.89    732760
           2       0.93      0.83      0.88    732928

    accuracy                           0.88   1465688
   macro avg       0.89      0.88      0.88   1465688
weighted avg       0.89      0.88      0.88   1465688
"
