2,"              precision    recall  f1-score   support

           1       0.45      0.91      0.60    320614
           2       0.37      0.48      0.41    320454
           3       0.31      0.10      0.15    319974
           4       0.31      0.11      0.16    320378

    accuracy                           0.40   1281420
   macro avg       0.36      0.40      0.33   1281420
weighted avg       0.36      0.40      0.33   1281420
"
3,"              precision    recall  f1-score   support

           1       0.46      0.90      0.61    320614
           2       0.40      0.44      0.42    320454
           3       0.33      0.15      0.21    319974
           4       0.33      0.16      0.21    320378

    accuracy                           0.41   1281420
   macro avg       0.38      0.41      0.36   1281420
weighted avg       0.38      0.41      0.36   1281420
"
4,"              precision    recall  f1-score   support

           1       0.46      0.90      0.61    320614
           2       0.40      0.44      0.42    320454
           3       0.33      0.16      0.21    319974
           4       0.33      0.16      0.21    320378

    accuracy                           0.41   1281420
   macro avg       0.38      0.41      0.36   1281420
weighted avg       0.38      0.41      0.36   1281420
"
5,"              precision    recall  f1-score   support

           1       0.46      0.90      0.61    320614
           2       0.40      0.43      0.42    320454
           3       0.33      0.17      0.22    319974
           4       0.33      0.15      0.21    320378

    accuracy                           0.41   1281420
   macro avg       0.38      0.41      0.37   1281420
weighted avg       0.38      0.41      0.37   1281420
"
6,"              precision    recall  f1-score   support

           1       0.48      0.89      0.62    320614
           2       0.42      0.45      0.43    320454
           3       0.34      0.07      0.12    319974
           4       0.36      0.30      0.33    320378

    accuracy                           0.43   1281420
   macro avg       0.40      0.43      0.37   1281420
weighted avg       0.40      0.43      0.37   1281420
"
7,"              precision    recall  f1-score   support

           1       0.48      0.88      0.62    320614
           2       0.42      0.44      0.43    320454
           3       0.35      0.08      0.13    319974
           4       0.36      0.31      0.34    320378

    accuracy                           0.43   1281420
   macro avg       0.40      0.43      0.38   1281420
weighted avg       0.40      0.43      0.38   1281420
"
8,"              precision    recall  f1-score   support

           1       0.49      0.89      0.63    320614
           2       0.45      0.48      0.46    320454
           3       0.36      0.09      0.14    319974
           4       0.39      0.35      0.37    320378

    accuracy                           0.45   1281420
   macro avg       0.42      0.45      0.40   1281420
weighted avg       0.42      0.45      0.40   1281420
"
9,"              precision    recall  f1-score   support

           1       0.50      0.89      0.64    320614
           2       0.45      0.49      0.47    320454
           3       0.35      0.08      0.13    319974
           4       0.40      0.35      0.37    320378

    accuracy                           0.45   1281420
   macro avg       0.42      0.45      0.40   1281420
weighted avg       0.42      0.45      0.40   1281420
"
10,"              precision    recall  f1-score   support

           1       0.55      0.88      0.68    320614
           2       0.46      0.50      0.48    320454
           3       0.33      0.14      0.20    319974
           4       0.41      0.36      0.38    320378

    accuracy                           0.47   1281420
   macro avg       0.44      0.47      0.44   1281420
weighted avg       0.44      0.47      0.44   1281420
"
11,"              precision    recall  f1-score   support

           1       0.55      0.88      0.68    320614
           2       0.46      0.50      0.48    320454
           3       0.33      0.14      0.20    319974
           4       0.41      0.37      0.39    320378

    accuracy                           0.47   1281420
   macro avg       0.44      0.47      0.44   1281420
weighted avg       0.44      0.47      0.44   1281420
"
12,"              precision    recall  f1-score   support

           1       0.56      0.88      0.68    320614
           2       0.46      0.51      0.48    320454
           3       0.33      0.14      0.20    319974
           4       0.42      0.37      0.39    320378

    accuracy                           0.48   1281420
   macro avg       0.44      0.48      0.44   1281420
weighted avg       0.44      0.48      0.44   1281420
"
13,"              precision    recall  f1-score   support

           1       0.56      0.88      0.68    320614
           2       0.46      0.51      0.48    320454
           3       0.33      0.14      0.20    319974
           4       0.41      0.37      0.39    320378

    accuracy                           0.48   1281420
   macro avg       0.44      0.47      0.44   1281420
weighted avg       0.44      0.48      0.44   1281420
"
