2,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.41      0.00      0.01    284441

    accuracy                           0.74   1082618
   macro avg       0.57      0.50      0.43   1082618
weighted avg       0.65      0.74      0.63   1082618
"
3,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.41      0.00      0.01    284441

    accuracy                           0.74   1082618
   macro avg       0.57      0.50      0.43   1082618
weighted avg       0.65      0.74      0.63   1082618
"
4,"              precision    recall  f1-score   support

           0       0.74      1.00      0.85    798177
           1       0.41      0.00      0.01    284441

    accuracy                           0.74   1082618
   macro avg       0.57      0.50      0.43   1082618
weighted avg       0.65      0.74      0.63   1082618
"
5,"              precision    recall  f1-score   support

           0       0.74      0.98      0.84    798177
           1       0.38      0.03      0.05    284441

    accuracy                           0.73   1082618
   macro avg       0.56      0.51      0.45   1082618
weighted avg       0.65      0.73      0.64   1082618
"
6,"              precision    recall  f1-score   support

           0       0.74      0.84      0.79    798177
           1       0.27      0.17      0.21    284441

    accuracy                           0.66   1082618
   macro avg       0.51      0.51      0.50   1082618
weighted avg       0.62      0.66      0.63   1082618
"
7,"              precision    recall  f1-score   support

           0       0.74      0.84      0.78    798177
           1       0.28      0.18      0.22    284441

    accuracy                           0.66   1082618
   macro avg       0.51      0.51      0.50   1082618
weighted avg       0.62      0.66      0.64   1082618
"
8,"              precision    recall  f1-score   support

           0       0.74      0.88      0.81    798177
           1       0.30      0.14      0.20    284441

    accuracy                           0.69   1082618
   macro avg       0.52      0.51      0.50   1082618
weighted avg       0.63      0.69      0.65   1082618
"
9,"              precision    recall  f1-score   support

           0       0.74      0.88      0.81    798177
           1       0.31      0.14      0.20    284441

    accuracy                           0.69   1082618
   macro avg       0.53      0.51      0.50   1082618
weighted avg       0.63      0.69      0.65   1082618
"
10,"              precision    recall  f1-score   support

           0       0.74      0.94      0.83    798177
           1       0.33      0.09      0.14    284441

    accuracy                           0.71   1082618
   macro avg       0.54      0.51      0.48   1082618
weighted avg       0.64      0.71      0.65   1082618
"
11,"              precision    recall  f1-score   support

           0       0.74      0.96      0.84    798177
           1       0.36      0.06      0.10    284441

    accuracy                           0.73   1082618
   macro avg       0.55      0.51      0.47   1082618
weighted avg       0.64      0.73      0.64   1082618
"
12,"              precision    recall  f1-score   support

           0       0.74      0.98      0.84    798177
           1       0.38      0.03      0.06    284441

    accuracy                           0.73   1082618
   macro avg       0.56      0.51      0.45   1082618
weighted avg       0.65      0.73      0.64   1082618
"
13,"              precision    recall  f1-score   support

           0       0.74      0.98      0.84    798177
           1       0.40      0.03      0.05    284441

    accuracy                           0.73   1082618
   macro avg       0.57      0.51      0.45   1082618
weighted avg       0.65      0.73      0.64   1082618
"
14,"              precision    recall  f1-score   support

           0       0.74      0.99      0.85    798177
           1       0.41      0.02      0.04    284441

    accuracy                           0.73   1082618
   macro avg       0.57      0.51      0.44   1082618
weighted avg       0.65      0.73      0.63   1082618
"
15,"              precision    recall  f1-score   support

           0       0.74      0.99      0.85    798177
           1       0.42      0.02      0.04    284441

    accuracy                           0.73   1082618
   macro avg       0.58      0.51      0.44   1082618
weighted avg       0.65      0.73      0.63   1082618
"
