2,"              precision    recall  f1-score   support

          C1       0.29      0.91      0.44     93778
          C2       0.18      0.01      0.01     93388
          C3       0.00      0.00      0.00     93307
          C4       0.21      0.50      0.30     93038
          C5       0.18      0.06      0.09     93577
          C6       0.16      0.02      0.04     93390
          C7       0.17      0.17      0.17     93578

    accuracy                           0.24    654056
   macro avg       0.17      0.24      0.15    654056
weighted avg       0.17      0.24      0.15    654056
"
3,"              precision    recall  f1-score   support

          C1       0.31      0.91      0.46     93778
          C2       0.19      0.03      0.05     93388
          C3       0.19      0.02      0.03     93307
          C4       0.26      0.41      0.32     93038
          C5       0.20      0.18      0.19     93577
          C6       0.19      0.13      0.15     93390
          C7       0.23      0.13      0.17     93578

    accuracy                           0.26    654056
   macro avg       0.22      0.26      0.19    654056
weighted avg       0.22      0.26      0.19    654056
"
4,"              precision    recall  f1-score   support

          C1       0.31      0.91      0.46     93778
          C2       0.19      0.03      0.05     93388
          C3       0.19      0.02      0.03     93307
          C4       0.26      0.41      0.32     93038
          C5       0.20      0.18      0.19     93577
          C6       0.19      0.13      0.15     93390
          C7       0.23      0.13      0.17     93578

    accuracy                           0.26    654056
   macro avg       0.22      0.26      0.19    654056
weighted avg       0.22      0.26      0.20    654056
"
5,"              precision    recall  f1-score   support

          C1       0.31      0.91      0.46     93778
          C2       0.20      0.03      0.05     93388
          C3       0.20      0.03      0.05     93307
          C4       0.26      0.40      0.31     93038
          C5       0.20      0.18      0.19     93577
          C6       0.19      0.13      0.16     93390
          C7       0.23      0.13      0.17     93578

    accuracy                           0.26    654056
   macro avg       0.23      0.26      0.20    654056
weighted avg       0.23      0.26      0.20    654056
"
6,"              precision    recall  f1-score   support

          C1       0.32      0.90      0.47     93778
          C2       0.21      0.04      0.06     93388
          C3       0.22      0.01      0.03     93307
          C4       0.27      0.46      0.34     93038
          C5       0.21      0.18      0.19     93577
          C6       0.20      0.16      0.18     93390
          C7       0.23      0.13      0.17     93578

    accuracy                           0.27    654056
   macro avg       0.24      0.27      0.21    654056
weighted avg       0.24      0.27      0.21    654056
"
7,"              precision    recall  f1-score   support

          C1       0.32      0.90      0.47     93778
          C2       0.21      0.04      0.07     93388
          C3       0.22      0.01      0.02     93307
          C4       0.28      0.47      0.35     93038
          C5       0.21      0.17      0.19     93577
          C6       0.20      0.17      0.18     93390
          C7       0.23      0.13      0.17     93578

    accuracy                           0.27    654056
   macro avg       0.24      0.27      0.21    654056
weighted avg       0.24      0.27      0.21    654056
"
8,"              precision    recall  f1-score   support

          C1       0.34      0.92      0.50     93778
          C2       0.21      0.03      0.06     93388
          C3       0.22      0.02      0.04     93307
          C4       0.29      0.52      0.37     93038
          C5       0.21      0.17      0.18     93577
          C6       0.22      0.16      0.19     93390
          C7       0.23      0.15      0.19     93578

    accuracy                           0.28    654056
   macro avg       0.25      0.28      0.22    654056
weighted avg       0.25      0.28      0.22    654056
"
9,"              precision    recall  f1-score   support

          C1       0.35      0.92      0.51     93778
          C2       0.22      0.04      0.06     93388
          C3       0.22      0.02      0.04     93307
          C4       0.29      0.54      0.38     93038
          C5       0.21      0.15      0.17     93577
          C6       0.22      0.17      0.19     93390
          C7       0.24      0.17      0.20     93578

    accuracy                           0.29    654056
   macro avg       0.25      0.29      0.22    654056
weighted avg       0.25      0.29      0.22    654056
"
10,"              precision    recall  f1-score   support

          C1       0.42      0.93      0.58     93778
          C2       0.18      0.11      0.13     93388
          C3       0.22      0.04      0.06     93307
          C4       0.30      0.58      0.39     93038
          C5       0.21      0.16      0.18     93577
          C6       0.23      0.15      0.18     93390
          C7       0.29      0.20      0.23     93578

    accuracy                           0.31    654056
   macro avg       0.26      0.31      0.25    654056
weighted avg       0.26      0.31      0.25    654056
"
11,"              precision    recall  f1-score   support

          C1       0.42      0.93      0.58     93778
          C2       0.18      0.11      0.13     93388
          C3       0.22      0.04      0.06     93307
          C4       0.30      0.58      0.39     93038
          C5       0.21      0.16      0.18     93577
          C6       0.23      0.15      0.18     93390
          C7       0.29      0.20      0.23     93578

    accuracy                           0.31    654056
   macro avg       0.26      0.31      0.25    654056
weighted avg       0.26      0.31      0.25    654056
"
12,"              precision    recall  f1-score   support

          C1       0.43      0.93      0.59     93778
          C2       0.19      0.12      0.15     93388
          C3       0.21      0.04      0.06     93307
          C4       0.30      0.58      0.39     93038
          C5       0.21      0.15      0.18     93577
          C6       0.23      0.15      0.18     93390
          C7       0.29      0.21      0.24     93578

    accuracy                           0.31    654056
   macro avg       0.27      0.31      0.25    654056
weighted avg       0.27      0.31      0.25    654056
"
13,"              precision    recall  f1-score   support

          C1       0.43      0.93      0.59     93778
          C2       0.19      0.12      0.15     93388
          C3       0.21      0.04      0.06     93307
          C4       0.30      0.58      0.39     93038
          C5       0.21      0.16      0.18     93577
          C6       0.24      0.14      0.18     93390
          C7       0.29      0.21      0.24     93578

    accuracy                           0.31    654056
   macro avg       0.27      0.31      0.26    654056
weighted avg       0.27      0.31      0.26    654056
"
