2,"              precision    recall  f1-score   support

           0       0.68      0.31      0.43   1996535
           1       0.55      0.85      0.67   1994642

    accuracy                           0.58   3991177
   macro avg       0.62      0.58      0.55   3991177
weighted avg       0.62      0.58      0.55   3991177
"
3,"              precision    recall  f1-score   support

           0       0.67      0.45      0.54   1996535
           1       0.59      0.78      0.67   1994642

    accuracy                           0.62   3991177
   macro avg       0.63      0.62      0.60   3991177
weighted avg       0.63      0.62      0.60   3991177
"
4,"              precision    recall  f1-score   support

           0       0.67      0.46      0.54   1996535
           1       0.59      0.77      0.67   1994642

    accuracy                           0.62   3991177
   macro avg       0.63      0.62      0.61   3991177
weighted avg       0.63      0.62      0.61   3991177
"
5,"              precision    recall  f1-score   support

           0       0.70      0.76      0.72   1996535
           1       0.73      0.67      0.70   1994642

    accuracy                           0.71   3991177
   macro avg       0.71      0.71      0.71   3991177
weighted avg       0.71      0.71      0.71   3991177
"
6,"              precision    recall  f1-score   support

           0       0.68      0.58      0.63   1996535
           1       0.63      0.72      0.67   1994642

    accuracy                           0.65   3991177
   macro avg       0.66      0.65      0.65   3991177
weighted avg       0.66      0.65      0.65   3991177
"
7,"              precision    recall  f1-score   support

           0       0.67      0.61      0.64   1996535
           1       0.64      0.69      0.67   1994642

    accuracy                           0.65   3991177
   macro avg       0.65      0.65      0.65   3991177
weighted avg       0.65      0.65      0.65   3991177
"
8,"              precision    recall  f1-score   support

           0       0.67      0.62      0.64   1996535
           1       0.65      0.70      0.67   1994642

    accuracy                           0.66   3991177
   macro avg       0.66      0.66      0.66   3991177
weighted avg       0.66      0.66      0.66   3991177
"
9,"              precision    recall  f1-score   support

           0       0.67      0.62      0.64   1996535
           1       0.65      0.69      0.66   1994642

    accuracy                           0.65   3991177
   macro avg       0.66      0.65      0.65   3991177
weighted avg       0.66      0.65      0.65   3991177
"
10,"              precision    recall  f1-score   support

           0       0.66      0.63      0.64   1996535
           1       0.65      0.68      0.66   1994642

    accuracy                           0.65   3991177
   macro avg       0.65      0.65      0.65   3991177
weighted avg       0.65      0.65      0.65   3991177
"
11,"              precision    recall  f1-score   support

           0       0.70      0.69      0.69   1996535
           1       0.69      0.70      0.69   1994642

    accuracy                           0.69   3991177
   macro avg       0.69      0.69      0.69   3991177
weighted avg       0.69      0.69      0.69   3991177
"
12,"              precision    recall  f1-score   support

           0       0.70      0.69      0.69   1996535
           1       0.69      0.70      0.70   1994642

    accuracy                           0.69   3991177
   macro avg       0.69      0.69      0.69   3991177
weighted avg       0.69      0.69      0.69   3991177
"
13,"              precision    recall  f1-score   support

           0       0.70      0.70      0.70   1996535
           1       0.70      0.70      0.70   1994642

    accuracy                           0.70   3991177
   macro avg       0.70      0.70      0.70   3991177
weighted avg       0.70      0.70      0.70   3991177
"
14,"              precision    recall  f1-score   support

           0       0.69      0.88      0.77   1996535
           1       0.84      0.60      0.70   1994642

    accuracy                           0.74   3991177
   macro avg       0.76      0.74      0.74   3991177
weighted avg       0.76      0.74      0.74   3991177
"
15,"              precision    recall  f1-score   support

           0       0.69      0.88      0.78   1996535
           1       0.84      0.61      0.70   1994642

    accuracy                           0.74   3991177
   macro avg       0.76      0.74      0.74   3991177
weighted avg       0.76      0.74      0.74   3991177
"
